"genre","song_name","artist","song_popularity","song_duration_ms","acousticness","danceability","energy","liveness","loudness","speechiness","tempo","audio_valence"
"acoustic","Morning Breeze","Juke Ross",68,194066,0.585,0.636,0.383,0.122,-9.381,0.0434,72.871,0.213
"acoustic","Happier - Acoustic","Ed Sheeran",69,206209,0.0425,0.493,0.4,0.133,-8.117,0.0261,91.004,0.15
"acoustic","Melt (Acoustic Version)","JONES",50,221492,0.897,0.522,0.241,0.11,-8.966,0.0343,133.644,0.345
"acoustic","My Arms Were Always Around You","Peter Bradley Adams",60,200800,0.724,0.643,0.436,0.11,-12.245,0.0273,91.485,0.422
"acoustic","Lay It On Me - Acoustic","Vance Joy",56,201561,0.768,0.483,0.49,0.112,-4.736,0.0318,137.606,0.43
"acoustic","Little Boy","Barns Courtney",56,233448,0.401,0.659,0.608,0.117,-8.566,0.0325,113.952,0.393
"acoustic","Never in My Wildest Dreams","Dan Auerbach",69,176026,0.315,0.559,0.466,0.0933,-6.769,0.0362,117.21,0.623
"acoustic","New Rules - Acoustic","Dua Lipa",68,213436,0.601,0.826,0.345,0.121,-6.018,0.0372,116.072,0.508
"acoustic","hate u love u","Olivia O'Brien",77,175466,0.71,0.401,0.398,0.0962,-8.993,0.183,180.293,0.265
"acoustic","Dream - Acoustic","Bishop Briggs",56,198693,0.75,0.7,0.281,0.102,-6.576,0.0356,74.998,0.385
"acoustic","Only Love","Ben Howard",76,249173,0.3,0.545,0.485,0.119,-9.941,0.151,80.401,0.341
"acoustic","Take Me To Church - Live From Spotify, London","Hozier",61,246500,0.841,0.624,0.214,0.701,-9.471,0.0457,125.149,0.3
"acoustic","For Now","Kina Grannis",72,198403,0.926,0.397,0.249,0.115,-10.484,0.0394,79.614,0.329
"acoustic","Cherry Wine - Live","Hozier",53,240146,0.951,0.415,0.11,0.0962,-14.901,0.0388,81.876,0.234
"acoustic","Honest","Joseph",50,168480,0.662,0.41,0.44,0.0663,-8.616,0.0307,98.097,0.304
"acoustic","Honey","Dana Williams",54,213061,0.785,0.612,0.365,0.111,-9.973,0.0281,97.929,0.171
"acoustic","The Woods - Acoustic","Hollow Coves",68,239960,0.722,0.571,0.558,0.116,-8.553,0.0281,104.991,0.283
"acoustic","Waves - Acoustic","Dean Lewis",64,248176,0.947,0.483,0.199,0.109,-11.37,0.0586,78.103,0.16
"acoustic","Tee Shirt","Birdy",68,159506,0.837,0.684,0.341,0.0883,-9.497,0.0272,75.948,0.557
"acoustic","Hell Or High Water","Passenger",49,220468,0.00182,0.338,0.721,0.349,-5.735,0.0587,80.774,0.381
"acoustic","Paper Thin - Live From Studio","Astrid S",30,196072,0.896,0.455,0.113,0.0978,-12.887,0.0466,176.131,0.373
"acoustic","Moving Mountains","Skylar Grey",16,253400,0.904,0.592,0.206,0.121,-12.026,0.0274,93.934,0.198
"acoustic","Another Way","Donovan Woods",55,251324,0.0579,0.587,0.608,0.131,-11.588,0.0308,94.479,0.565
"acoustic","Concrete Jungle - Acoustic","Au/Ra",26,160345,0.761,0.589,0.467,0.0847,-8.179,0.031,165.908,0.571
"acoustic","Where's My Love","SYML",29,202106,0.853,0.598,0.343,0.123,-11.04,0.025,103.984,0.419
"acoustic","Adore - Piano Unplugged","Amy Shark",53,197573,0.739,0.571,0.313,0.113,-9.833,0.0657,64.531,0.163
"acoustic","Hollow (Acoustic)","Belle Mt",65,236618,0.822,0.499,0.229,0.0914,-9.642,0.0361,178.461,0.239
"acoustic","Jungle","Tash Sultana",16,315598,0.269,0.59,0.697,0.0881,-5.877,0.0291,146.059,0.497
"acoustic","Elastic Heart - Live from The Village","Sia",62,266720,0.887,0.409,0.375,0.125,-6.195,0.0336,128.912,0.209
"acoustic","Most Girls - Acoustic","Hailee Steinfeld",63,200880,0.482,0.665,0.274,0.118,-8.915,0.147,103.013,0.686
"acoustic","Sleep On The Floor","The Lumineers",33,211851,0.298,0.391,0.442,0.13,-8.076,0.0347,142.56,0.246
"acoustic","little light - acoustic version","Lewis Watson",65,256415,0.685,0.67,0.294,0.147,-8.114,0.0341,119.856,0.515
"acoustic","I Will Spend My Whole Life Loving You","Imaginary Future",68,227619,0.887,0.637,0.129,0.0719,-17.082,0.0346,125.802,0.298
"acoustic","Best Days - Acoustic","Lissie",49,179063,0.919,0.655,0.127,0.105,-11.036,0.0467,150.407,0.436
"acoustic","Love on the Weekend","John Mayer",68,212626,0.547,0.729,0.546,0.0651,-9.305,0.0285,119.941,0.406
"acoustic","Acoustic","Billy Raffoul",31,172199,0.785,0.88,0.245,0.0979,-10.245,0.446,76.006,0.638
"acoustic","Catie Rae","This Wild Life",19,132453,0.709,0.344,0.46,0.117,-9.399,0.0319,84.469,0.528
"acoustic","Issues - Acoustic","Julia Michaels",68,175280,0.741,0.684,0.342,0.0729,-6.09,0.055,114.076,0.632
"acoustic","Shape of You - Acoustic","Ed Sheeran",75,223573,0.49,0.843,0.4,0.125,-5.576,0.103,100.728,0.927
"acoustic","All I Want","Kodaline",71,305746,0.172,0.209,0.412,0.0843,-9.733,0.0443,86.26,0.162
"acoustic","Boston","Dermot Kennedy",16,273666,0.191,0.556,0.448,0.383,-10.921,0.0387,116.292,0.125
"acoustic","Girl Crush - Recorded at Metropolis Studios, London","Harry Styles",72,243804,0.658,0.468,0.197,0.109,-11.727,0.033,144.212,0.249
