"genre","song_name","artist","song_popularity","song_duration_ms","acousticness","danceability","energy","liveness","loudness","speechiness","tempo","audio_valence"
"pop","What Makes You Beautiful","One Direction",69,198053,0.00761,0.729,0.771,0.087,-2.451,0.0725,125.011,0.873
"pop","No One","Alicia Keys",79,253813,0.03,0.649,0.552,0.111,-5.419,0.0292,89.969,0.158
"pop","Sk8er Boi","Avril Lavigne",67,204000,6.79e-05,0.487,0.9,0.358,-4.417,0.0482,149.937,0.484
"pop","Womanizer","Britney Spears",76,224400,0.073,0.724,0.695,0.0889,-5.226,0.0622,139,0.235
"pop","Give Me Everything","Pitbull",75,252306,0.192,0.671,0.939,0.298,-3.206,0.161,129.023,0.529
"pop","Single Ladies (Put a Ring on It)","Beyoncé",72,193213,0.0383,0.426,0.584,0.188,-5.293,0.296,193.437,0.272
"pop","Bleeding Love","Leona Lewis",81,262466,0.188,0.638,0.656,0.146,-5.886,0.0357,104.036,0.225
"pop","Lose My Breath","Destiny's Child",63,242013,0.00727,0.814,0.899,0.0979,-5.958,0.0637,119.011,0.545
"pop","Love Song","Sara Bareilles",77,258826,0.0208,0.583,0.786,0.188,-3.142,0.0301,123.052,0.573
"pop","Ms. Jackson","OutKast",78,270506,0.142,0.843,0.805,0.0771,-5.946,0.269,94.946,0.615
"pop","Die Young","Kesha",72,211920,0.00498,0.711,0.7,0.215,-4.805,0.046,128.001,0.801
"pop","Survivor","Destiny's Child",62,254040,0.0533,0.524,0.904,0.776,-2.071,0.398,161.188,0.655
"pop","Oops!...I Did It Again","Britney Spears",77,211160,0.3,0.751,0.834,0.355,-5.444,0.0437,95.053,0.894
"pop","Cry Me a River","Justin Timberlake",77,288333,0.575,0.624,0.653,0.104,-6.582,0.176,73.884,0.565
"pop","Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit","Daft Punk",77,248413,0.0426,0.794,0.811,0.101,-8.966,0.038,116.047,0.862
"pop","Whatever You Like","T.I.",75,249533,0.0161,0.68,0.687,0.261,-6.162,0.0709,150.053,0.467
"pop","One, Two Step","Ciara",78,203786,0.042,0.944,0.511,0.0379,-10.96,0.161,113.046,0.842
"pop","Unwritten","Natasha Bedingfield",77,259333,0.00577,0.706,0.801,0.0822,-6.333,0.0399,100.013,0.63
"pop","Wrecking Ball","Miley Cyrus",74,221360,0.407,0.53,0.422,0.107,-6.262,0.0342,119.964,0.349
"pop","So What","P!nk",65,215160,0.000304,0.535,0.886,0.257,-3.106,0.045,126.012,0.445
"pop","Whenever, Wherever","Shakira",76,196160,0.236,0.793,0.832,0.202,-4.862,0.0406,107.661,0.872
"pop","Baby Boy","Beyoncé",69,244826,0.0825,0.655,0.488,0.221,-9.17,0.22,91.025,0.791
"pop","It's Gonna Be Me","*NSYNC",67,192426,0.0407,0.636,0.873,0.0372,-4.672,0.071,165.071,0.908
"pop","My Boo","Usher",77,223440,0.257,0.662,0.507,0.0465,-8.238,0.118,86.412,0.676
